campus_number,baseball,basketball,cheer_drill,cross_country,football,golf,soccer,softball,swim,team_tennis,tennis,track,volley,water_polo,wrestling,archery,bowling,capoiera,disc_golf,flag_football,fun_fit,gymnastics,karate,lacrosse,running,squash,strength,yoga
299,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
44,-99,"2,4","3,4","2,4",2,-99,2,-99,"2,4",-99,-99,"2,4",4,-99,"2,4",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
373,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
350,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
136,-99,"1,2,3,4,5,6","3,4",-99,-99,-99,"1,2,5,6",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
112,1,-99,3,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
123,-99,5,3,-99,1,-99,-99,-99,-99,-99,-99,5,5,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99
173,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
283,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
195,-99,"1,3,5",3,-99,1,-99,1,-99,-99,-99,-99,5,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
166,-99,-99,3,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99
251,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
360,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
227,-99,"1,3",-99,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10,"2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"1,2,3","1,2,3"
263,-99,5,3,-99,-99,-99,5,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
175,-99,5,3,-99,-99,-99,5,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15,2,"2,4","4,6","2,4",2,"2,4","2,4",4,"2,4","2,4","2,4","2,4",4,"2,4","2,4",3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99
131,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,2,"2,4",6,"2,4",2,"2,4","2,4",4,"2,4","2,4,6","2,4","2,4",4,"2,4","2,4",-99,-99,-99,-99,-99,-99,-99,-99,"1,2",-99,-99,-99,-99
162,-99,"1,3",-99,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3
289,-99,"1,3",-99,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
273,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
214,-99,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
61,1,"2,4",4,-99,2,-99,"2,4",3,-99,-99,-99,-99,4,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
58,-99,"1,2,3,4",-99,-99,"1,2",-99,-99,-99,-99,-99,-99,-99,"3,4",-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99
7,2,"2,4",4,"2,4",2,-99,"2,4",4,-99,-99,-99,"2,4",4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99
167,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
357,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
52,-99,"1,3",3,"1,3",1,-99,"1,3",-99,-99,-99,-99,"1,3",3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
458,2,2,2,2,-99,-99,2,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
